key,message,comment,context
Add.Description,Add Event Description to Send Emails...!!!,,
Address,,,
Address Configurations,,,
Address Details,,,
Amount,,,
Amount collected,,,
Before Days,,,
Capacity,,,
City,,,
Country,,,
Description,,,
Discount Details,,,
Discount amount,,,
Discount percent,,,
Discounts,,,
Disount Amount,,,
Email,,,
Email Sent,,,
Email sent,,,
Emails.noNeed,Event is completed so... Emails are of no use now...!<br> Thankyou.,,
End Date,,,
End.Date,End date should be higher than or equal to Start Date,,
Event,,,
Event Description,,,
Event Details,,,
Event Discounts,,,
Event Registration,,,
Event Registrations,Event Registrations,,
Event fees,,,
Events,,,
Finance Details,,,
Flat / House No.,,,
FullName,,,
General Details,,,
Import,,,
Import Registration,,,
Import Registrations,,,
Input file,,,
LandMark,,,
Name,,,
Personal Details,,,
Print Report,,,
Reference,,,
Registration Details,,,
Registration close,Registration close,,
Registration date,,,
Registration open,Registration open,,
Registration.date,Registration Date Error!.. Please Check Event Registration Dates...,,
Registration.notAllowed,New Registrations are not allowed. Current Date is not Between Event Registration Dates.!!!,,
Registrations.full,Registrations are full for this Event... Please Try Again Later!!!,,
Send Email,,,
Start Date,,,
Street,,,
Template.Missing,Template Missing... Please Create template First,,
Total discount,,,
Total entry,,,
Venu,,,
Venu Details,,,
example@whatever.com,,,
